iter	Passed	Remaining
0	6	67375
1	12	60778
2	17	58778
3	23	57663
4	28	56746
5	33	56036
6	39	55920
7	44	55529
8	49	55412
9	55	55939
10	61	55752
11	66	55531
12	72	55330
13	77	55481
14	83	55428
15	88	55311
16	94	55284
17	99	55336
18	105	55351
19	111	55407
20	116	55287
21	121	55219
22	127	55203
23	132	55194
24	138	55098
25	145	55765
26	150	55774
27	157	55996
28	162	56039
29	168	56086
30	172	55433
31	178	55476
32	183	55533
33	189	55576
34	194	55509
35	200	55545
36	206	55579
37	211	55575
38	217	55495
39	222	55509
40	228	55554
41	234	55510
42	239	55419
43	245	55523
44	251	55554
45	256	55483
46	261	55475
47	267	55411
48	272	55348
49	278	55355
50	283	55338
51	289	55299
52	294	55277
53	300	55293
54	305	55256
55	311	55312
56	316	55276
57	322	55277
58	330	55638
59	336	55689
60	341	55667
61	347	55706
62	353	55709
63	359	55769
64	365	55876
65	371	55886
66	376	55866
67	382	55867
68	388	55909
69	394	55958
70	400	56002
71	406	55996
72	411	55956
73	417	55950
74	423	56003
75	428	55972
76	434	55963
77	439	55944
78	445	55901
79	450	55875
80	456	55889
81	462	55881
82	467	55863
83	473	55843
84	476	55572
85	482	55601
86	487	55572
87	493	55584
88	499	55568
89	504	55530
90	509	55492
91	515	55484
92	520	55485
93	526	55496
94	532	55550
95	538	55586
96	544	55574
97	550	55585
98	555	55559
99	560	55538
100	566	55527
101	572	55507
102	577	55486
103	583	55501
104	588	55496
105	594	55499
106	600	55534
107	605	55496
108	611	55472
109	616	55440
110	622	55466
111	628	55487
112	634	55535
113	641	55627
114	646	55611
115	653	55643
116	658	55630
117	664	55608
118	669	55594
119	675	55612
120	680	55587
121	688	55747
122	695	55809
123	701	55842
124	707	55867
125	713	55878
126	719	55900
127	724	55882
128	729	55837
129	735	55823
130	741	55863
131	747	55917
132	753	55888
133	758	55873
134	766	55977
135	772	56024
136	778	56021
137	783	56014
138	789	55993
139	794	55961
140	799	55922
141	805	55910
142	811	55910
143	816	55868
144	821	55840
145	827	55822
146	832	55813
147	838	55812
148	844	55802
149	849	55795
150	855	55785
151	860	55775
152	866	55777
153	872	55780
154	877	55763
155	882	55667
156	888	55708
157	894	55702
158	899	55697
159	905	55689
160	911	55688
161	917	55692
162	923	55706
163	927	55643
164	933	55661
165	939	55675
166	945	55670
167	952	55723
168	957	55711
169	963	55691
170	968	55667
171	974	55658
172	979	55664
173	985	55653
174	991	55675
175	997	55675
176	1003	55696
177	1009	55692
178	1015	55700
179	1020	55674
180	1025	55643
181	1031	55621
182	1036	55606
183	1041	55579
184	1047	55555
185	1052	55533
186	1057	55516
187	1063	55505
188	1068	55487
189	1074	55464
190	1079	55455
191	1085	55436
192	1090	55428
193	1096	55437
194	1102	55451
195	1108	55467
196	1114	55473
197	1120	55465
198	1126	55458
199	1131	55443
200	1137	55446
201	1143	55458
202	1149	55453
203	1154	55425
204	1159	55393
205	1164	55369
206	1170	55389
207	1176	55368
208	1181	55354
209	1186	55331
210	1192	55303
211	1197	55305
212	1203	55279
213	1208	55263
214	1213	55248
215	1219	55237
216	1225	55242
217	1230	55229
218	1236	55208
219	1241	55193
220	1246	55164
221	1252	55156
222	1257	55139
223	1262	55112
224	1268	55099
225	1273	55091
226	1279	55065
227	1284	55066
228	1290	55060
229	1295	55040
230	1301	55027
231	1306	55015
232	1312	55005
233	1317	55001
234	1323	54996
235	1328	54977
236	1335	55016
237	1341	55014
238	1346	55009
239	1352	54982
240	1358	55016
241	1364	55033
242	1370	55029
243	1375	55016
244	1381	54997
245	1387	55000
246	1392	54982
247	1398	54977
248	1403	54953
249	1408	54930
250	1414	54931
251	1419	54919
252	1424	54893
253	1430	54876
254	1435	54857
255	1440	54845
256	1446	54839
257	1451	54821
258	1457	54815
259	1463	54807
260	1468	54786
261	1473	54772
262	1478	54756
263	1484	54736
264	1489	54732
265	1495	54733
266	1500	54713
267	1506	54701
268	1512	54702
269	1517	54692
270	1522	54671
271	1528	54657
272	1533	54649
273	1538	54627
274	1544	54605
275	1549	54586
276	1554	54567
277	1560	54556
278	1565	54546
279	1570	54525
280	1576	54510
281	1581	54495
282	1587	54493
283	1593	54500
284	1598	54490
285	1603	54465
286	1608	54445
287	1614	54432
288	1619	54410
289	1624	54393
290	1629	54382
291	1635	54374
292	1640	54357
293	1645	54331
294	1650	54309
295	1656	54294
296	1661	54286
297	1670	54375
298	1675	54368
299	1681	54364
300	1686	54345
301	1692	54345
302	1698	54346
303	1703	54332
304	1708	54320
305	1714	54315
306	1719	54303
307	1725	54304
308	1731	54305
309	1736	54291
310	1742	54286
311	1748	54286
312	1753	54273
